Collection,Device Name,SSID,BSSID,Frequency,Technology Band,SSID Count [AVG],RSSI [AVG],Capability,Status,SSID Count [SUM]
Day2-VZN-MNO-DEF-OUT,QualiPoc_083101,CR202-0796BB,ec:6e:79:07:96:bb,2462,WiFi (2.4 GHz),26,-70,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,480
Day3_TMO-DEF-L1-V1,QualiPoc_083101,LiveBetter,d4:20:b0:e2:3e:9b,5680,WiFi (5 GHz),168,-81,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,6225
Day2-TMO-MNO-DEF-IN,QualiPoc_083101,m3rcytl$,50:5c:88:03:5a:b0,2437,WiFi (2.4 GHz),155,-58,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][WPA-EAP/SHA1-TKIP+CCMP][ESS],,1402
Day2-VZN-MNO-DEF-IN,QualiPoc_083101,Walmartwifi,d4:dc:09:5e:50:15,2412,WiFi (2.4 GHz),101,-73,[ESS],,303
Day1-WIFI-IN,QualiPoc_083101,DIRECT-67-HP OfficeJet Pro 9020,aa:b1:3b:fe:60:67,2437,WiFi (2.4 GHz),165,-70,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],,3964
Day1-TMO-NH-IN,QualiPoc_083101,Walmartwifi,d4:20:b0:e2:4b:a7,2437,WiFi (2.4 GHz),139,-73,[ESS],,1668
Day3_ATT-MNO-DEF-IN-L2,QualiPoc_083101,MercyInternal,50:5c:88:03:5a:b1,2437,WiFi (2.4 GHz),161,-57,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],,3542
Day3_ATT-MNO-DEF-IN-L2,QualiPoc_083101,HEATKTE-NG,d4:20:b0:d6:e9:9c,5745,WiFi (5 GHz),163,-82,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,9799
Day1-TMO-MNO-DEF-IN,QualiPoc_083101,m3rcytl$,50:5c:88:03:0e:cf,5300,WiFi (5 GHz),146,-81,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][WPA-EAP/SHA1-TKIP+CCMP][ESS],,2628
Day2-VZN-MNO-4G-IN,QualiPoc_083101,BYOD@Mercy,50:5c:88:02:c9:cb,5280,WiFi (5 GHz),162,-81,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],,2277
Day2-VZN-MNO-4G-IN,QualiPoc_083101,Walmartwifi,d4:20:b0:d6:45:ee,5680,WiFi (5 GHz),172,-79,[ESS],,7929
Day2-ATT-MNO-DEF-IN,QualiPoc_083101,SwimUpstream,d4:20:b0:d6:e8:18,5540,WiFi (5 GHz),126,-76,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,9577
Day2-VZN-MNO-DEF-IN,QualiPoc_083101,Eagle,d4:20:b0:e2:46:dd,5765,WiFi (5 GHz),149,-70,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,3447
Day2-TMO-MNO-DEF-OUT,QualiPoc_083101,ATTtNrDgC4,90:d0:92:a8:72:94,2437,WiFi (2.4 GHz),25,-68,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS][MFPC],,930
Day2-ATT-MNO-DEF-OUTER,QualiPoc_083101,8A348E,dc:ef:09:8a:34:8e,2437,WiFi (2.4 GHz),17,-78,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],,35
Day1-WIFI-IN,QualiPoc_083101,Eagle,d4:20:b0:cf:f9:cd,5520,WiFi (5 GHz),193,-80,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,7158
Day3_ATT-MNO-DEF-IN-L2,QualiPoc_083101,HEATKTE-NG,d4:20:b0:d6:ec:6c,5765,WiFi (5 GHz),162,-75,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,10425
Day3_unnamed,QualiPoc_083101,HEATKTE,d4:20:b0:d6:eb:a6,5200,WiFi (5 GHz),147,-77,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,2660
Day1-WIFI-IN,QualiPoc_083101,HEATKTE,d4:20:b0:ea:7b:32,5825,WiFi (5 GHz),160,-84,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,963
Day2-VZN-MNO-DEF-OUT,QualiPoc_083101,HEATKTE-NG,5c:5b:35:60:0a:f7,5180,WiFi (5 GHz),23,-75,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,1555
Day3_TMO-NH-L1,QualiPoc_083101,HEATKTE,d4:20:b0:d6:f6:86,5280,WiFi (5 GHz),143,-67,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,14517
Day1-TMO-MNO-DEF-OUT,QualiPoc_083101,SwimUpstream,d4:20:b0:d6:e5:a6,5320,WiFi (5 GHz),21,-86,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,87
Day2-VZN-MNO-4G-IN,QualiPoc_083101,Walmartwifi,d4:20:b0:e2:4c:4e,5680,WiFi (5 GHz),181,-79,[ESS],,6890
Day2-VZN-MNO-4G-IN,QualiPoc_083101,SwimUpstream,d4:20:b0:e2:4d:08,5520,WiFi (5 GHz),157,-82,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,3614
Day3_TMO-NH-L2,QualiPoc_083101,BYOD@Mercy,50:5c:88:03:0e:c4,2462,WiFi (2.4 GHz),148,-71,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],,4900
Day2-TMO-MNO-DEF-IN,QualiPoc_083101,SaveMoney,5c:5b:35:5f:fe:b2,2462,WiFi (2.4 GHz),127,-73,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,381
Day1-ATT-MNO-DEF-IN,QualiPoc_083101,Walmartwifi,5c:5b:35:60:2d:d8,5785,WiFi (5 GHz),149,-80,[ESS],,898
Day1-TMO-MNO-DEF-IN,QualiPoc_083101,HEATKTE-NG,d4:dc:09:49:11:b6,5300,WiFi (5 GHz),111,-84,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,891
Day1-TMO-MNO-DEF-OUT,QualiPoc_083101,BYOD@Mercy,50:5c:88:03:5a:bb,5220,WiFi (5 GHz),40,-86,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],,240
Day1-TMO-NH-IN,QualiPoc_083101,HEATKTE-NG,d4:20:b0:d6:ee:dc,5520,WiFi (5 GHz),144,-79,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,4346
Day2-TMO-MNO-4G-IN,QualiPoc_083101,SwimUpstream,d4:20:b0:e2:48:58,5240,WiFi (5 GHz),172,-76,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,5848
Day2-TMO-MNO-DEF-IN,QualiPoc_083101,HEATKTE,d4:20:b0:e2:4a:06,5785,WiFi (5 GHz),181,-80,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,3439
Day1-TMO-NH-OUT,QualiPoc_083101,Walmartwifi,5c:5b:35:60:2d:d8,5785,WiFi (5 GHz),26,-76,[ESS],,239
Day1-ATT-MNO-DEF-OUT,QualiPoc_083101,ABG,6c:8d:77:31:b9:cf,5500,WiFi (5 GHz),23,-85,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],,23
Day3_TMO-NH-L1,QualiPoc_083101,LiveBetter,d4:dc:09:78:74:09,5805,WiFi (5 GHz),148,-84,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,7698
Day2-ATT-MNO-DEF-OUTER,QualiPoc_083101,Walmartwifi,5c:5b:35:60:2c:58,5180,WiFi (5 GHz),35,-79,[ESS],,35
Day3_unnamed,QualiPoc_083101,CR202-0796BB,ec:6e:79:07:96:bb,2462,WiFi (2.4 GHz),150,-71,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,150
Day1-WIFI-IN,QualiPoc_083101,Walmartwifi,d4:dc:09:5e:4f:9c,5805,WiFi (5 GHz),109,-79,[ESS],,545
Day1-ATT-MNO-DEF-OUT,QualiPoc_083101,Eagle,d4:20:b0:d6:ec:6d,5300,WiFi (5 GHz),32,-82,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,418
Day1-TMO-MNO-DEF-IN,QualiPoc_083101,HEATKTE,d4:20:b0:e2:3f:e6,5240,WiFi (5 GHz),147,-76,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,17376
Day1-ATT-MNO-DEF-IN,QualiPoc_083101,Eagle,d4:20:b0:d6:f5:fd,5765,WiFi (5 GHz),171,-75,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,6685
Day2-ATT-MNO-4G-OUT,QualiPoc_083101,HEATKTE-NG,5c:5b:35:60:2d:d7,5785,WiFi (5 GHz),20,-79,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,664
Day2-TMO-MNO-DEF-IN,QualiPoc_083101,HEATKTE,5c:5b:35:60:04:32,5260,WiFi (5 GHz),147,-84,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,589
Day3_ATT-NH-IN-L1,QualiPoc_083101,HEATKTE,d4:20:b0:e2:4a:f6,5300,WiFi (5 GHz),169,-78,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,9139
Day2-TMO-MNO-DEF-IN,QualiPoc_083101,HEATKTE,5c:5b:35:60:24:92,2412,WiFi (2.4 GHz),191,-74,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,574
Day2-VZN-MNO-DEF-IN,QualiPoc_083101,m3rcytl$,50:5c:88:03:5a:b0,2437,WiFi (2.4 GHz),140,-67,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][WPA-EAP/SHA1-TKIP+CCMP][ESS],,2106
Day2-ATT-MNO-DEF-IN,QualiPoc_083101,LiveBetter,d4:20:b0:e2:3f:bb,5805,WiFi (5 GHz),139,-74,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,5739
Day2-TMO-MNO-DEF-IN,QualiPoc_083101,HEATKTE,d4:20:b0:d6:e5:a3,5320,WiFi (5 GHz),154,-78,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,8954
Day1-TMO-MNO-DEF-OUT,QualiPoc_083101,m3rcytl$,50:5c:88:03:5a:b0,2437,WiFi (2.4 GHz),37,-76,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][WPA-EAP/SHA1-TKIP+CCMP][ESS],,113
Day3_TMO-DEF-L2,QualiPoc_083101,LiveBetter,d4:20:b0:cf:f9:cb,5520,WiFi (5 GHz),167,-83,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,3007
Day1-WIFI-IN,QualiPoc_083101,Walmartwifi,d4:20:b0:d6:e3:6e,5700,WiFi (5 GHz),141,-86,[ESS],,425
Day3_ATT-MNO-DEF-IN-L1,QualiPoc_083101,DIRECT-922112F2,3a:9d:92:21:92:f2,2412,WiFi (2.4 GHz),168,-63,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],,10419
Day1-ATT-MNO-DEF-IN,QualiPoc_083101,MercyMedEquip,50:5c:88:03:0e:c3,2437,WiFi (2.4 GHz),168,-68,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-TKIP][ESS],,1857
Day1-TMO-NH-IN,QualiPoc_083101,BYOD@Mercy,50:5c:88:03:4b:2b,5260,WiFi (5 GHz),146,-79,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],,3815
Day3_TMO-DEF-L1-V1,QualiPoc_083101,LiveBetter,d4:20:b0:e2:4b:8b,5240,WiFi (5 GHz),167,-81,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,9379
Day1-TMO-NH-IN,QualiPoc_083101,ATTtNrDgC4,90:d0:92:a8:72:9c,5805,WiFi (5 GHz),151,-81,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS][MFPC],,4682
Day2-TMO-MNO-4G-OUT,QualiPoc_083101,CarLinkAP946,52:5c:51:51:32:f9,5180,WiFi (5 GHz),16,-85,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],,167
Day2-VZN-MNO-4G-IN,QualiPoc_083101,SwimUpstream,5c:5b:35:60:2c:54,5180,WiFi (5 GHz),175,-78,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,1752
Day1-TMO-NH-OUT,QualiPoc_083101,m3rcytl$,50:5c:88:03:4b:20,2437,WiFi (2.4 GHz),32,-72,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][WPA-EAP/SHA1-TKIP+CCMP][ESS],,195
Day3_TMO-NH-L1,QualiPoc_083101,Walmartwifi,d4:20:b0:e2:4b:8e,5240,WiFi (5 GHz),152,-82,[ESS],,2434
Day2-TMO-MNO-4G-OUT,QualiPoc_083101,MercyInternal,50:5c:88:03:0e:c1,2437,WiFi (2.4 GHz),32,-74,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],,224
Day2-TMO-MNO-4G-IN,QualiPoc_083101,HEATKTE,d4:20:b0:ea:7b:32,5825,WiFi (5 GHz),167,-80,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,670
Day1-WIFI-IN,QualiPoc_083101,SwimUpstream,5c:5b:35:60:04:35,5500,WiFi (5 GHz),182,-82,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,182
Day2-TMO-MNO-DEF-OUT,QualiPoc_083101,MercyInternal,50:5c:88:03:4b:2e,5260,WiFi (5 GHz),39,-84,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],,78
Day2-TMO-MNO-4G-IN,QualiPoc_083101,SwimUpstream,d4:20:b0:d6:f6:28,5745,WiFi (5 GHz),173,-75,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,6244
Day1-WIFI-IN,QualiPoc_083101,HEATKTE,5c:5b:35:60:2c:72,2412,WiFi (2.4 GHz),154,-66,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,4175
Day2-VZN-MNO-DEF-IN,QualiPoc_083101,SaveMoney,d4:20:b0:e2:4b:45,2462,WiFi (2.4 GHz),129,-66,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,5947
Day3_ATT-NH-IN-L1,QualiPoc_083101,Walmartwifi,d4:20:b0:e2:4b:8e,5240,WiFi (5 GHz),180,-82,[ESS],,1802
Day2-ATT-MNO-4G-IN,QualiPoc_083101,HEATKTE-NG,d4:20:b0:e2:4a:9c,5825,WiFi (5 GHz),157,-75,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,22637
Day3_TMO-NH-L2,QualiPoc_083101,HEATKTE,d4:20:b0:e2:4c:46,5680,WiFi (5 GHz),147,-79,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,6193
Day2-VZN-MNO-DEF-OUTER,QualiPoc_083101,Lyndas WiFi,c4:49:bb:89:2b:26,2437,WiFi (2.4 GHz),10,-82,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS],,10
Day2-VZN-MNO-4G-IN,QualiPoc_083101,LiveBetter,d4:20:b0:d6:f6:8b,5280,WiFi (5 GHz),153,-76,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,15853
Day1-TMO-NH-IN,QualiPoc_083101,SwimUpstream,d4:dc:09:63:55:16,5805,WiFi (5 GHz),142,-78,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,1420
Day2-TMO-MNO-DEF-IN,QualiPoc_083101,m3rcytl$vo1p,50:5c:88:03:cc:8d,5805,WiFi (5 GHz),167,-78,[WPA2-EAP/SHA1+?-CCMP][RSN-EAP/SHA1+?-CCMP][ESS],,10879
Day2-TMO-MNO-DEF-IN,QualiPoc_083101,MercyInternal,50:5c:88:02:c9:c1,2462,WiFi (2.4 GHz),163,-68,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],,1634
