Collection,Device Name,SSID,BSSID,Frequency,Technology Band,SSID Count [AVG],RSSI [AVG],Capability,Status,SSID Count [SUM]
Day2-ATT-MNO-4G-OUT,QualiPoc_083101,HEATKTE,5c:5b:35:60:0b:12,2412,WiFi (2.4 GHz),18,-71,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,1577
Day2-ATT-MNO-4G-IN,QualiPoc_083101,HEATKTE,d4:20:b0:d6:ed:56,5200,WiFi (5 GHz),155,-74,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,18670
Day2-VZN-MNO-4G-IN,QualiPoc_083101,HEATKTE,5c:5b:35:60:2b:92,5220,WiFi (5 GHz),153,-79,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,3064
Day1-WIFI-IN,QualiPoc_083101,m3rcytl$vo1p,50:5c:88:03:0e:cd,5300,WiFi (5 GHz),165,-83,[WPA2-EAP/SHA1+?-CCMP][RSN-EAP/SHA1+?-CCMP][ESS],,991
Day1-ATT-NH-OUT,QualiPoc_083101,m3rcytl$vo1p,50:5c:88:03:7f:7d,5785,WiFi (5 GHz),38,-83,[WPA2-EAP/SHA1+?-CCMP][RSN-EAP/SHA1+?-CCMP][ESS],,77
Day2-ATT-MNO-DEF-IN,QualiPoc_083101,HEATKTE,d4:20:b0:d6:e3:66,5700,WiFi (5 GHz),123,-79,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,988
Day1-ATT-NH-IN,QualiPoc_083101,MercyInternal,50:5c:88:02:c9:ce,5280,WiFi (5 GHz),163,-79,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],,1956
Day1-TMO-MNO-DEF-IN,QualiPoc_083101,SaveMoney,d4:20:b0:d6:e5:c3,2462,WiFi (2.4 GHz),134,-67,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,17400
Day3_TMO-NH-L2,QualiPoc_083101,HEATKTE,5c:5b:35:60:2c:52,5180,WiFi (5 GHz),147,-85,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,4417
Day1-TMO-NH-OUT,QualiPoc_083101,HEATKTE,d4:20:b0:e2:4a:96,5825,WiFi (5 GHz),30,-84,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,30
Day2-ATT-MNO-DEF-IN,QualiPoc_083101,HEATKTE-NG,d4:20:b0:d6:eb:7c,5500,WiFi (5 GHz),137,-78,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,14199
Day3_ATT-NH-IN-L1,QualiPoc_083101,DIRECT-roku-J5G-E5E2F3,8e:c8:a0:77:a0:a6,5180,WiFi (5 GHz),166,-61,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],,3171
Day2-ATT-MNO-DEF-OUT,QualiPoc_083101,SwimUpstream,5c:5b:35:60:0b:15,2412,WiFi (2.4 GHz),22,-68,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,678
Day3_ATT-NH-IN-L1,QualiPoc_083101,SaveMoney,d4:20:b0:e2:4a:25,2462,WiFi (2.4 GHz),169,-72,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,2884
Day2-TMO-MNO-DEF-OUTER,QualiPoc_083101,m3rcytl$,50:5c:88:03:4b:20,2462,WiFi (2.4 GHz),20,-80,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][WPA-EAP/SHA1-TKIP+CCMP][ESS],,60
Day2-VZN-MNO-4G-IN,QualiPoc_083101,HEATKTE-NG,d4:20:b0:ea:7b:37,5825,WiFi (5 GHz),170,-83,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,681
Day2-VZN-MNO-4G-IN,QualiPoc_083101,HEATKTE,d4:20:b0:e2:4c:46,5680,WiFi (5 GHz),181,-79,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,7074
Day3_ATT-MNO-DEF-IN-L1,QualiPoc_083101,Eagle,d4:20:b0:e2:45:5d,5200,WiFi (5 GHz),162,-82,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,4374
Day2-VZN-MNO-DEF-IN,QualiPoc_083101,SwimUpstream,5c:5b:35:60:2d:f4,2437,WiFi (2.4 GHz),147,-69,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,442
Day2-ATT-MNO-4G-OUT,QualiPoc_083101,MercyInternal,50:5c:88:03:4b:21,2412,WiFi (2.4 GHz),18,-76,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],,132
Day2-TMO-MNO-DEF-OUT,QualiPoc_083101,Walmartwifi,d4:20:b0:d6:ec:87,2412,WiFi (2.4 GHz),27,-75,[ESS],,54
Day3_ATT-NH-IN-L2,QualiPoc_083101,SwimUpstream,d4:20:b0:d6:f6:58,5500,WiFi (5 GHz),168,-79,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,14469
Day1-TMO-MNO-DEF-IN,QualiPoc_083101,SaveMoney,d4:20:b0:e2:4b:a5,2437,WiFi (2.4 GHz),139,-72,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,14252
Day2-ATT-MNO-4G-IN,QualiPoc_083101,HEATKTE-NG,d4:20:b0:d6:ec:fc,5220,WiFi (5 GHz),148,-79,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,12893
Day2-ATT-MNO-DEF-OUT,QualiPoc_083101,m3rcytl$,50:5c:88:03:03:5f,5180,WiFi (5 GHz),38,-82,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][WPA-EAP/SHA1-TKIP+CCMP][ESS],,423
Day1-TMO-MNO-DEF-IN,QualiPoc_083101,SwimUpstream,d4:20:b0:e2:3f:b8,5805,WiFi (5 GHz),143,-74,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,5304
Day1-WIFI-IN,QualiPoc_083101,HEATKTE,d4:20:b0:ea:81:82,2437,WiFi (2.4 GHz),148,-71,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,148
Day3_ATT-NH-IN-L1,QualiPoc_083101,SaveMoney,d4:20:b0:e2:4b:45,2462,WiFi (2.4 GHz),173,-75,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,2253
Day1-WIFI-IN,QualiPoc_083101,Walmartwifi,d4:20:b0:d6:ec:6e,5300,WiFi (5 GHz),183,-81,[ESS],,10851
Day2-VZN-MNO-DEF-OUTER,QualiPoc_083101,OnnenWifi,16:01:12:b0:a7:be,5220,WiFi (5 GHz),22,-81,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][WPS][MFPC],,44
Day2-ATT-MNO-4G-IN,QualiPoc_083101,HEATKTE,d4:20:b0:e2:4c:46,5680,WiFi (5 GHz),175,-79,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,11201
Day2-ATT-MNO-DEF-OUTER,QualiPoc_083101,B&C,b0:6a:41:a0:e5:11,2412,WiFi (2.4 GHz),20,-82,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,20
Day3_ATT-NH-IN-L2,QualiPoc_083101,m3rcytl$vo1p,50:5c:88:03:0e:cd,5300,WiFi (5 GHz),171,-86,[WPA2-EAP/SHA1+?-CCMP][RSN-EAP/SHA1+?-CCMP][ESS],,4807
Day2-VZN-MNO-4G-IN,QualiPoc_083101,HEATKTE,d4:20:b0:e2:4a:c6,5825,WiFi (5 GHz),150,-73,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,16585
Day2-VZN-MNO-DEF-OUT,QualiPoc_083101,SwimUpstream,d4:20:b0:ea:7f:84,5745,WiFi (5 GHz),23,-71,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,93
Day3_ATT-MNO-DEF-IN-L2,QualiPoc_083101,HEATKTE-NG,d4:20:b0:e2:4a:9c,5825,WiFi (5 GHz),162,-71,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,10578
Day3_ATT-MNO-DEF-IN-L1,QualiPoc_083101,HEATKTE-NG,d4:20:b0:e2:4b:5c,5680,WiFi (5 GHz),176,-80,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,3715
Day1-TMO-MNO-DEF-IN,QualiPoc_083101,m3rcytl$,50:5c:88:02:c9:c0,2437,WiFi (2.4 GHz),141,-70,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][WPA-EAP/SHA1-TKIP+CCMP][ESS],,3529
Day3_TMO-NH-L2,QualiPoc_083101,HEATKTE,d4:20:b0:e2:46:d6,5765,WiFi (5 GHz),147,-58,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,6911
Day1-WIFI-IN,QualiPoc_083101,Walmartwifi,d4:dc:09:78:74:0c,5805,WiFi (5 GHz),172,-71,[ESS],,5164
Day1-ATT-MNO-DEF-IN,QualiPoc_083101,m3rcytl$,50:5c:88:03:7f:7f,5785,WiFi (5 GHz),180,-76,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][WPA-EAP/SHA1-TKIP+CCMP][ESS],,8109
Day3_ATT-MNO-DEF-IN-L1,QualiPoc_083101,HEATKTE-NG,d4:dc:09:78:74:0a,5805,WiFi (5 GHz),169,-82,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,10501
Day2-ATT-MNO-DEF-OUTER,QualiPoc_083101,SaveMoney,d4:20:b0:d6:e5:c3,2462,WiFi (2.4 GHz),25,-83,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,25
Day2-TMO-MNO-DEF-IN,QualiPoc_083101,Walmartwifi,5c:5b:35:60:2b:98,5220,WiFi (5 GHz),169,-79,[ESS],,509
Day3_ATT-MNO-DEF-IN-L2,QualiPoc_083101,"LG_Speaker_S80QY_9819.l078 ",fa:8f:ca:75:92:4d,2437,WiFi (2.4 GHz),162,-75,[ESS],,813
Day2-TMO-MNO-DEF-OUT,QualiPoc_083101,Hotspot35rW,a8:40:0b:67:11:18,2437,WiFi (2.4 GHz),21,-76,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS][MFPC],,42
Day3_TMO-NH-L2,QualiPoc_083101,Walmartwifi,d4:20:b0:d6:e5:ac,5320,WiFi (5 GHz),161,-89,[ESS],,161
Day1-TMO-NH-IN,QualiPoc_083101,SaveMoney,5c:5b:35:60:0c:c4,2462,WiFi (2.4 GHz),101,-71,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,2139
Day3_TMO-NH-L2,QualiPoc_083101,HEATKTE-NG,d4:20:b0:d6:ec:6c,5765,WiFi (5 GHz),146,-74,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,6754
Day3_TMO-DEF-IN-L2,QualiPoc_083101,HEATKTE,d4:20:b0:ea:7f:a2,2462,WiFi (2.4 GHz),163,-71,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,2453
Day2-VZN-MNO-4G-IN,QualiPoc_083101,HEATKTE,d4:20:b0:e2:45:56,5540,WiFi (5 GHz),168,-70,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,9073
Day1-TMO-MNO-DEF-OUT,QualiPoc_083101,Walmartwifi,d4:20:b0:d6:e5:c5,2462,WiFi (2.4 GHz),20,-71,[ESS],,104
Day3_ATT-MNO-DEF-IN-L1,QualiPoc_083101,Eagle,d4:20:b0:e2:4b:2d,5180,WiFi (5 GHz),181,-83,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,3452
Day2-ATT-MNO-DEF-IN,QualiPoc_083101,SwimUpstream,d4:20:b0:e2:48:b8,5765,WiFi (5 GHz),136,-76,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,3141
Day2-TMO-MNO-4G-IN,QualiPoc_083101,LiveBetter,d4:20:b0:e2:3f:eb,5240,WiFi (5 GHz),171,-77,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,7553
Day3_TMO-DEF-L1-V1,QualiPoc_083101,Walmartwifi,5c:5b:35:60:2c:58,5180,WiFi (5 GHz),185,-87,[ESS],,740
Day3_ATT-MNO-DEF-IN-L2,QualiPoc_083101,HEATKTE-NG,d4:20:b0:d6:f6:2c,5745,WiFi (5 GHz),162,-78,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,10268
Day2-VZN-MNO-4G-OUT,QualiPoc_083101,SwimUpstream,d4:20:b0:d6:e5:a6,5320,WiFi (5 GHz),23,-86,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,191
Day1-TMO-NH-IN,QualiPoc_083101,MercyMedEquip,50:5c:88:02:c9:c3,2437,WiFi (2.4 GHz),139,-68,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-TKIP][ESS],,4336
Day2-ATT-MNO-DEF-IN,QualiPoc_083101,Walmartwifi,d4:20:b0:d6:e3:6e,5700,WiFi (5 GHz),123,-80,[ESS],,1114
Day2-ATT-MNO-DEF-OUTER,QualiPoc_083101,Innovative Guest,b6:8b:a9:5f:95:f3,5220,WiFi (5 GHz),29,-83,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,29
Day2-ATT-MNO-4G-IN,QualiPoc_083101,ATTtNrDgC4,90:d0:92:a8:72:9c,5805,WiFi (5 GHz),174,-80,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS][MFPC],,8726
Day2-VZN-MNO-DEF-IN,QualiPoc_083101,m3rcytl$,50:5c:88:03:03:5f,5180,WiFi (5 GHz),148,-78,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][WPA-EAP/SHA1-TKIP+CCMP][ESS],,9362
Day2-VZN-MNO-4G-IN,QualiPoc_083101,MercyInternal,50:5c:88:03:cc:81,2412,WiFi (2.4 GHz),171,-68,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],,3265
Day2-VZN-MNO-DEF-IN,QualiPoc_083101,HEATKTE-NG,5c:5b:35:60:24:77,5825,WiFi (5 GHz),158,-83,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,316
Day1-TMO-NH-IN,QualiPoc_083101,SaveMoney,5c:5b:35:60:0a:e2,2437,WiFi (2.4 GHz),95,-71,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,1525
Day2-TMO-MNO-4G-IN,QualiPoc_083101,Walmartwifi,d4:20:b0:d6:ee:de,5520,WiFi (5 GHz),174,-77,[ESS],,5403
Day3_ATT-MNO-DEF-IN-L1,QualiPoc_083101,Walmartwifi,d4:20:b0:e2:49:de,5500,WiFi (5 GHz),170,-84,[ESS],,8362
Day2-VZN-MNO-4G-IN,QualiPoc_083101,HEATKTE,5c:5b:35:60:2b:b2,2462,WiFi (2.4 GHz),153,-68,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,1996
Day1-ATT-NH-IN,QualiPoc_083101,SwimUpstream,d4:20:b0:e2:4a:c8,5825,WiFi (5 GHz),165,-74,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,4313
Day2-TMO-MNO-DEF-OUT,QualiPoc_083101,m3rcytl$vo1p,50:5c:88:03:03:5d,5180,WiFi (5 GHz),34,-81,[WPA2-EAP/SHA1+?-CCMP][RSN-EAP/SHA1+?-CCMP][ESS],,413
Day2-ATT-MNO-DEF-IN,QualiPoc_083101,HEATKTE,5c:5b:35:60:04:32,5260,WiFi (5 GHz),133,-83,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,935
Day3_TMO-NH-L2,QualiPoc_083101,Walmartwifi,d4:20:b0:d6:eb:7e,5540,WiFi (5 GHz),149,-83,[ESS],,2982
Day1-TMO-NH-IN,QualiPoc_083101,LiveBetter,d4:20:b0:e2:48:8b,5200,WiFi (5 GHz),139,-79,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,13941
Day2-VZN-MNO-4G-IN,QualiPoc_083101,HEATKTE,d4:20:b0:d6:45:e6,5680,WiFi (5 GHz),170,-79,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,8193
Day1-TMO-MNO-DEF-IN,QualiPoc_083101,SaveMoney,5c:5b:35:60:04:53,2412,WiFi (2.4 GHz),119,-74,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,3236
Day1-TMO-NH-IN,QualiPoc_083101,HEATKTE-NG,5c:5b:35:60:04:37,5500,WiFi (5 GHz),139,-80,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,139
Day3_TMO-NH-L2,QualiPoc_083101,DIRECT-roku-3TL-7E9C53,ba:ab:62:c2:04:01,5180,WiFi (5 GHz),137,-84,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],,411
Day2-TMO-MNO-4G-IN,QualiPoc_083101,HEATKTE-NG,d4:20:b0:d6:ee:dc,5520,WiFi (5 GHz),173,-77,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,5392
Day1-TMO-NH-IN,QualiPoc_083101,SwimUpstream,d4:20:b0:e2:44:f8,5280,WiFi (5 GHz),138,-76,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,6225
Day3_ATT-NH-IN-L1,QualiPoc_083101,SwimUpstream,d4:20:b0:e2:45:58,5200,WiFi (5 GHz),160,-82,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,2404
Day2-TMO-MNO-DEF-OUT,QualiPoc_083101,BYOD@Mercy,50:5c:88:03:cc:84,2437,WiFi (2.4 GHz),31,-69,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],,191
Day2-ATT-MNO-DEF-OUT,QualiPoc_083101,Walmartwifi,d4:20:b0:d6:ec:6e,5765,WiFi (5 GHz),29,-80,[ESS],,209
Day2-VZN-MNO-DEF-OUTER,QualiPoc_083101,cook home,24:e5:0f:57:12:4c,2437,WiFi (2.4 GHz),7,-79,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,35
Day2-VZN-MNO-DEF-OUTER,QualiPoc_083101,carplay_wifi_49C3,98:03:cf:19:70:5e,5180,WiFi (5 GHz),15,-83,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,30
Day3_TMO-NH-L1,QualiPoc_083101,SwimUpstream,d4:20:b0:e2:4a:c8,5825,WiFi (5 GHz),150,-75,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,6467
Day2-TMO-MNO-DEF-IN,QualiPoc_083101,HEATKTE,5c:5b:35:60:2d:f2,2437,WiFi (2.4 GHz),130,-71,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,1173
Day1-TMO-NH-IN,QualiPoc_083101,SwimUpstream,5c:5b:35:60:2c:75,2412,WiFi (2.4 GHz),115,-66,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,1725
Day2-ATT-MNO-DEF-OUT,QualiPoc_083101,HEATKTE-NG,d4:20:b0:d6:ec:6c,5765,WiFi (5 GHz),28,-81,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,428
Day2-ATT-MNO-DEF-IN,QualiPoc_083101,LiveBetter,d4:20:b0:e2:4a:9b,5825,WiFi (5 GHz),138,-76,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,18299
Day1-TMO-MNO-DEF-OUT,QualiPoc_083101,DIRECT-RJ-Car_8201,46:91:60:b5:f9:b9,2412,WiFi (2.4 GHz),29,-78,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],,58
Day3_TMO-DEF-IN-L2,QualiPoc_083101,BYOD@Mercy,50:5c:88:02:c9:c4,2412,WiFi (2.4 GHz),159,-70,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],,2871
Day2-ATT-MNO-DEF-OUTER,QualiPoc_083101,TP-Link_E6C9,50:c7:bf:90:e6:c9,2412,WiFi (2.4 GHz),13,-73,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],,13
Day2-VZN-MNO-4G-IN,QualiPoc_083101,SwimUpstream,d4:20:b0:e2:49:d8,5680,WiFi (5 GHz),140,-69,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,6302
Day2-TMO-MNO-4G-IN,QualiPoc_083101,Walmartwifi,d4:20:b0:d6:e9:9e,5745,WiFi (5 GHz),162,-72,[ESS],,5674
Day3_TMO-DEF-IN-L2,QualiPoc_083101,Walmartwifi,d4:20:b0:d6:e9:9e,5745,WiFi (5 GHz),166,-79,[ESS],,1328
Day2-TMO-MNO-4G-IN,QualiPoc_083101,Pixel_3394,ca:10:16:33:cc:1a,2462,WiFi (2.4 GHz),152,-42,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][MFPC],,20314
Day1-ATT-MNO-DEF-OUT,QualiPoc_083101,CR202-0796BB,ec:6e:79:07:96:bb,2462,WiFi (2.4 GHz),27,-75,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,1143
Day1-TMO-NH-IN,QualiPoc_083101,HEATKTE-NG,d4:20:b0:e2:4b:8c,5240,WiFi (5 GHz),131,-82,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,4744
Day2-ATT-MNO-DEF-OUTER,QualiPoc_083101,SwimUpstream,5c:5b:35:60:2d:f4,2437,WiFi (2.4 GHz),32,-73,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,32
Day2-VZN-MNO-DEF-OUT,QualiPoc_083101,Walmartwifi,d4:20:b0:ea:7f:88,5745,WiFi (5 GHz),24,-72,[ESS],,73
Day1-TMO-NH-IN,QualiPoc_083101,HEATKTE,d4:20:b0:d6:ef:06,5260,WiFi (5 GHz),139,-80,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,2788
Day1-ATT-MNO-DEF-OUT,QualiPoc_083101,HEATKTE-NG,d4:20:b0:d6:e5:aa,5320,WiFi (5 GHz),27,-82,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,278
Day3_TMO-DEF-L2,QualiPoc_083101,SwimUpstream,d4:20:b0:e2:4b:88,5240,WiFi (5 GHz),175,-79,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,4561
Day1-TMO-NH-IN,QualiPoc_083101,LiveBetter,d4:20:b0:e2:4c:4b,5765,WiFi (5 GHz),145,-80,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,7253
Day1-ATT-MNO-DEF-IN,QualiPoc_083101,Walmartwifi,d4:20:b0:d6:f6:2e,5745,WiFi (5 GHz),184,-75,[ESS],,7024
Day1-ATT-NH-OUT,QualiPoc_083101,m3rcytl$vo1p,50:5c:88:03:5a:bd,5220,WiFi (5 GHz),42,-85,[WPA2-EAP/SHA1+?-CCMP][RSN-EAP/SHA1+?-CCMP][ESS],,256
Day1-TMO-MNO-DEF-IN,QualiPoc_083101,MercyInternal,50:5c:88:03:03:51,2412,WiFi (2.4 GHz),145,-67,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],,6416
Day2-TMO-MNO-DEF-IN,QualiPoc_083101,Walmartwifi,d4:20:b0:d6:ed:17,2462,WiFi (2.4 GHz),145,-70,[ESS],,2041
Day2-TMO-MNO-4G-IN,QualiPoc_083101,HEATKTE-NG,d4:20:b0:d6:e5:aa,5320,WiFi (5 GHz),150,-76,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,12161
Day2-ATT-MNO-4G-IN,QualiPoc_083101,LiveBetter,d4:20:b0:e2:4a:cb,5825,WiFi (5 GHz),156,-74,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,20753
Day2-TMO-MNO-DEF-IN,QualiPoc_083101,Walmartwifi,d4:20:b0:d6:e9:9e,5745,WiFi (5 GHz),157,-73,[ESS],,6446
Day2-ATT-MNO-DEF-IN,QualiPoc_083101,HEATKTE-NG,d4:20:b0:ea:7a:a7,5180,WiFi (5 GHz),127,-88,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,127
Day3_ATT-NH-IN-L2,QualiPoc_083101,HEATKTE-NG,d4:20:b0:e2:40:dc,5220,WiFi (5 GHz),168,-85,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,14178
Day1-ATT-NH-IN,QualiPoc_083101,HEATKTE-NG,d4:20:b0:e2:45:5c,5540,WiFi (5 GHz),168,-71,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][ESS],,8076
Day2-VZN-MNO-DEF-OUTER,QualiPoc_083101,MHExternal,f6:55:b8:05:d2:24,5200,WiFi (5 GHz),32,-78,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,32
Day1-TMO-MNO-DEF-IN,QualiPoc_083101,m3rcytl$,50:5c:88:03:7f:7f,5785,WiFi (5 GHz),150,-76,[WPA2-EAP/SHA1+FT/EAP-CCMP][RSN-EAP/SHA1+FT/EAP-CCMP][WPA-EAP/SHA1-TKIP+CCMP][ESS],,16986
